row,message_id,message_send_time_utc,measurement_time_utc,country_code,location,city,latitude,longitude,source_type,source_name,parameter_name,parameter_value,parameter_unit
2338,e6aa1b4b-2fde-56e7-98ec-475011f4a7a5,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETR820,Antwerpen,51.320417,4.444811,government,EEA Belgium,no2,5.0,µg/m³
2339,a89f7e4b-df30-5ae4-a3a8-2250e11a57ce,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETE704,Oost-Vlaanderen,51.1761,3.869928,government,EEA Belgium,no2,3.5,µg/m³
2340,0773ecf9-7c08-5e7e-990e-b0e242221e14,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETR701,Oost-Vlaanderen,51.058332,3.729298,government,EEA Belgium,o3,37.0,µg/m³
2341,96b59957-376d-5f23-86e3-c54c09479448,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETN085,Luxembourg,50.303208,6.001736,government,EEA Belgium,o3,41.0,µg/m³
2342,99404146-0bf1-5268-a8a0-1d5d35db218d,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETN066,Liege,50.62886,6.002329,government,EEA Belgium,o3,46.0,µg/m³
2343,cb8d2fa4-724e-5971-bcb5-73bf495d527d,2022-12-20 04:23:47,2022-12-20 02:00:00,BE,BETN043,Brussels-Capital Region,50.88356,4.382963,government,EEA Belgium,pm10,14.0,µg/m³
2344,9ff01fd7-5ecb-5fe2-b64a-43cc65dfe59d,2022-12-20 04:23:48,2022-12-20 02:00:00,BE,BELMN01,West-Vlaanderen,50.793469,3.109642,government,EEA Belgium,pm10,13.4,µg/m³
2345,86351644-056a-5073-abfa-4a5f3e7e7274,2022-12-20 04:23:48,2022-12-20 02:00:00,BE,BETN070,Hainaut,50.465192,3.939714,government,EEA Belgium,pm10,4.271,µg/m³
2346,bb5b165d-70f7-5faf-865d-4a464be334c7,2022-12-20 04:23:48,2022-12-20 02:00:00,BE,BETR803,Antwerpen,51.22863,4.428454,government,EEA Belgium,no2,10.5,µg/m³
2347,04ef5135-6d4f-544b-810f-0d2e565befa3,2022-12-20 04:23:48,2022-12-20 02:00:00,BE,BETR502,Hainaut,50.428995,4.458681,government,EEA Belgium,no2,5.5,µg/m³
